Guideline,Section,Topic,Control identifier,Control description
Guidelines for Gateways,Web content filters,Allowing and blocking access to domain names,0958,"An organisation-approved list of domain names, or list of website categories, is implemented for all Hypertext Transfer Protocol and Hypertext Transfer Protocol Secure traffic communicated through gateways."
Guidelines for Gateways,Web content filters,Allowing and blocking access to domain names,1236,"Malicious domain names, dynamic domain names and domain names that can be registered anonymously for free are blocked by web content filters."
Guidelines for Gateways,Web content filters,Allowing and blocking access to domain names,1171,Attempts to access websites through their IP addresses instead of their domain names are blocked by web content filters.
Guidelines for Gateways,Content filtering,Performing content filtering,0659,Files imported or exported via gateways or CDSs undergo content filtering checks.
Guidelines for Gateways,Content filtering,Performing content filtering,0651,"Files identified by content filtering checks as malicious, or that cannot be inspected, are blocked."
Guidelines for Gateways,Content filtering,Performing content filtering,0652,Files identified by content filtering checks as suspicious are quarantined until reviewed and subsequently approved or not approved for release.
Guidelines for Gateways,Content filtering,Encrypted files,1293,Encrypted files imported or exported via gateways or CDSs are decrypted in order to undergo content filtering checks.
Guidelines for Gateways,Content filtering,Archive files,1289,Archive files imported or exported via gateways or CDSs are unpacked in order to undergo content filtering checks.
Guidelines for Gateways,Content filtering,Archive files,1290,Archive files are unpacked in a controlled manner to ensure content filter performance or availability is not adversely affected.
Guidelines for Gateways,Content filtering,Antivirus scanning,1288,Files imported or exported via gateways or CDSs undergo antivirus scanning using multiple different scanning engines.
Guidelines for Gateways,Content filtering,Automated dynamic analysis,1389,Executable files imported via gateways or CDSs are automatically executed in a sandbox to detect any suspicious behaviour.
Guidelines for Gateways,Content filtering,Allowing specific content types,0649,Files imported or exported via gateways or CDSs are filtered for allowed file types.
Guidelines for Gateways,Content filtering,Content validation,1284,Files imported or exported via gateways or CDSs undergo content validation.
Guidelines for Gateways,Content filtering,Content conversion,1286,Files imported or exported via gateways or CDSs undergo content conversion.
Guidelines for Gateways,Content filtering,Content sanitisation,1287,Files imported or exported via gateways or CDSs undergo content sanitisation.
Guidelines for Gateways,Content filtering,Validating file integrity,0677,Files imported or exported via gateways or CDSs that have a digital signature or cryptographic checksum are validated.
Guidelines for Gateways,Peripheral switches,Using peripheral switches,0591,Evaluated peripheral switches are used when sharing peripherals between systems.
Guidelines for Data Transfers,Data transfers,Data transfer processes and procedures,0663,"Data transfer processes, and supporting data transfer procedures, are developed, implemented and maintained."
Guidelines for Data Transfers,Data transfers,User responsibilities,0661,Users transferring data to and from systems are held accountable for data transfers they perform.
Guidelines for Data Transfers,Data transfers,Manual import of data,0657,"When manually importing data to systems, the data is scanned for malicious and active content."
Guidelines for Data Transfers,Data transfers,Manual import of data,1778,"When manually importing data to systems, all data that fails security checks is quarantined until reviewed and subsequently approved or not approved for release."
Guidelines for Data Transfers,Data transfers,Manual export of data,1187,"When manually exporting data from systems, the data is checked for unsuitable protective markings."
Guidelines for Data Transfers,Data transfers,Manual export of data,1779,"When manually exporting data from systems, all data that fails security checks is quarantined until reviewed and subsequently approved or not approved for release."
Guidelines for Data Transfers,Data transfers,Monitoring data import and export,1586,Data transfer logs are used to record all data imports and exports from systems.
Guidelines for Data Transfers,Data transfers,Monitoring data import and export,1294,Data transfer logs for systems are partially verified at least monthly.
