control,question,answer
ISM-0521,	What are some features of IPv6?,"Some features of IPv6 include larger address space, improved routing efficiency, simplified header format, better support for multicasting, and more efficient handling of Quality of Service (QoS). ISM-0521"
ISM-0521,What does IPv6 functionality mean? ,It refers to the ability of a device or system to use Internet Protocol version 6 (IPv6). - ISM-0521
ISM-0529,	What is the purpose of using virtual local area networks (VLAN)?,The primary purpose of using VLANs is to segregate network traffic between networks belonging to different security domains ISM-0529
ISM-0530,	What is the purpose of using virtual local area networks (VLAN)?,The purpose of using VLANs is to segment traffic on a network into different broadcast domains so that it can be more easily managed by administrators ISM-0530
ISM-0534,How can you disable unused physical ports on network devices?,You can disable unused physical ports by using the command no shutdown ISM-0534
ISM-0535,	What are some advantages of using virtual local area networks (VLAN)?,"Some advantages of using VLAN include enhanced network performance, increased flexibility in network management, improved security, reduced costs, and simplified troubleshooting ISM-0535"
ISM-0546,What is a Video Aware Firewall?,A Video Aware Firewall (VAF) is a type of network security device that can detect and control video content passing through it. ISM-0546
ISM-0546,	What are some examples of video-aware and voice-aware firewalls and proxies?,"Some examples of video-aware and voice-aware firewalls and proxies include Cisco FirePOWER Services, Check Point Next Generation Firewall (NGFW), Palo Alto Networks Next-Generation Security Platform, Fortinet FortiGate NGIPS, Juniper SRX Series, SonicWALL TZ series, Barracuda Web Application Firewall, F5 BIG-IP Local Traffic Manager, etc ISM-0546"
ISM-0547,	What should an organization do to protect video conferencing and internet protocol telephony traffic?,An organization can use a secure real time transport protocol (SRTP) to ensure the confidentiality and integrity of video conferencing and IP telephony calls ISM-0547
ISM-0547,What is RTP?,Real Time Protocol ISM-0547
ISM-0548,	What should an organization do to protect video conferencing and internet protocol telephony traffic?,An organization can establish a secure session initiation protocol (SIP) to ensure protection of video conferencing and internet protocol telephony traffic ISM-0548
ISM-0548,What is SIP?,"Secure Session Initiation Protocol (SIP) is used for establishing video conference or voice over internet protocol (VoIP) call sessions between two endpoints, such as computers, mobile devices, etc ISM-0548"
ISM-0549,What does control mean? ,Separating video conferencing and IP telephony traffic from other data traffic - ISM-0549
ISM-0549,	What are some examples of video conferencing and internet protocol telephony traffic separation techniques?,"Some examples include using separate network interfaces, VLANs (Virtual Local Area Network), and dedicated circuits ISM-0549"
